Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated
Europe,Germany,None,2020-11-16,351276,37667,7285,52691,10910,1340
Europe,Germany,None,2020-11-17,354296,38252,7400,53144,10946,1361
Europe,Germany,None,2020-11-18,357361,38845,7516,53604,10982,1382
Europe,Germany,None,2020-11-19,360468,39442,7634,54070,11019,1403
Europe,Germany,None,2020-11-20,363608,40033,7751,54541,11057,1424
Europe,Germany,None,2020-11-21,366782,40620,7867,55017,11095,1445
Europe,Germany,None,2020-11-22,369995,41208,7984,55499,11133,1466
Europe,Germany,None,2020-11-23,373252,41801,8102,55988,11172,1487
Europe,Germany,None,2020-11-24,376552,42401,8221,56483,11212,1508
Europe,Germany,None,2020-11-25,379895,43006,8341,56984,11252,1529
Europe,Germany,None,2020-11-26,383274,43609,8461,57491,11293,1551
Europe,Germany,None,2020-11-27,386684,44203,8581,58003,11334,1572
Europe,Germany,None,2020-11-28,390120,44783,8698,58518,11375,1592
Europe,Germany,None,2020-11-29,393591,45362,8815,59039,11417,1612
Europe,Germany,None,2020-11-30,397103,45944,8933,59565,11460,1633
Europe,Germany,None,2020-12-01,400660,46535,9052,60099,11503,1654
Europe,Germany,None,2020-12-02,404257,47130,9173,60639,11547,1675
Europe,Germany,None,2020-12-03,407891,47725,9293,61184,11591,1696
Europe,Germany,None,2020-12-04,411550,48308,9411,61732,11636,1716
Europe,Germany,None,2020-12-05,415222,48865,9526,62283,11681,1736
Europe,Germany,None,2020-12-06,418920,49409,9639,62838,11727,1755
Europe,Germany,None,2020-12-07,422652,49954,9752,63398,11773,1774
Europe,Germany,None,2020-12-08,426421,50503,9866,63963,11820,1793
Europe,Germany,None,2020-12-09,430226,51053,9980,64534,11867,1812
Europe,Germany,None,2020-12-10,434058,51597,10092,65109,11915,1831
Europe,Germany,None,2020-12-11,437903,52119,10202,65686,11963,1849
Europe,Germany,None,2020-12-12,441766,52624,10309,66265,12012,1867
Europe,Germany,None,2020-12-13,445653,53121,10415,66848,12061,1884
Europe,Germany,None,2020-12-14,449563,53610,10519,67434,12110,1901
Europe,Germany,None,2020-12-15,453492,54088,10622,68024,12160,1918
Europe,None,None,2020-11-16,351276,37667,7285,52691,10910,1340
Europe,None,None,2020-11-17,354296,38252,7400,53144,10946,1361
Europe,None,None,2020-11-18,357361,38845,7516,53604,10982,1382
Europe,None,None,2020-11-19,360468,39442,7634,54070,11019,1403
Europe,None,None,2020-11-20,363608,40033,7751,54541,11057,1424
Europe,None,None,2020-11-21,366782,40620,7867,55017,11095,1445
Europe,None,None,2020-11-22,369995,41208,7984,55499,11133,1466
Europe,None,None,2020-11-23,373252,41801,8102,55988,11172,1487
Europe,None,None,2020-11-24,376552,42401,8221,56483,11212,1508
Europe,None,None,2020-11-25,379895,43006,8341,56984,11252,1529
Europe,None,None,2020-11-26,383274,43609,8461,57491,11293,1551
Europe,None,None,2020-11-27,386684,44203,8581,58003,11334,1572
Europe,None,None,2020-11-28,390120,44783,8698,58518,11375,1592
Europe,None,None,2020-11-29,393591,45362,8815,59039,11417,1612
Europe,None,None,2020-11-30,397103,45944,8933,59565,11460,1633
Europe,None,None,2020-12-01,400660,46535,9052,60099,11503,1654
Europe,None,None,2020-12-02,404257,47130,9173,60639,11547,1675
Europe,None,None,2020-12-03,407891,47725,9293,61184,11591,1696
Europe,None,None,2020-12-04,411550,48308,9411,61732,11636,1716
Europe,None,None,2020-12-05,415222,48865,9526,62283,11681,1736
Europe,None,None,2020-12-06,418920,49409,9639,62838,11727,1755
Europe,None,None,2020-12-07,422652,49954,9752,63398,11773,1774
Europe,None,None,2020-12-08,426421,50503,9866,63963,11820,1793
Europe,None,None,2020-12-09,430226,51053,9980,64534,11867,1812
Europe,None,None,2020-12-10,434058,51597,10092,65109,11915,1831
Europe,None,None,2020-12-11,437903,52119,10202,65686,11963,1849
Europe,None,None,2020-12-12,441766,52624,10309,66265,12012,1867
Europe,None,None,2020-12-13,445653,53121,10415,66848,12061,1884
Europe,None,None,2020-12-14,449563,53610,10519,67434,12110,1901
Europe,None,None,2020-12-15,453492,54088,10622,68024,12160,1918
None,None,None,2020-11-16,351276,37667,7285,52691,10910,1340
None,None,None,2020-11-17,354296,38252,7400,53144,10946,1361
None,None,None,2020-11-18,357361,38845,7516,53604,10982,1382
None,None,None,2020-11-19,360468,39442,7634,54070,11019,1403
None,None,None,2020-11-20,363608,40033,7751,54541,11057,1424
None,None,None,2020-11-21,366782,40620,7867,55017,11095,1445
None,None,None,2020-11-22,369995,41208,7984,55499,11133,1466
None,None,None,2020-11-23,373252,41801,8102,55988,11172,1487
None,None,None,2020-11-24,376552,42401,8221,56483,11212,1508
None,None,None,2020-11-25,379895,43006,8341,56984,11252,1529
None,None,None,2020-11-26,383274,43609,8461,57491,11293,1551
None,None,None,2020-11-27,386684,44203,8581,58003,11334,1572
None,None,None,2020-11-28,390120,44783,8698,58518,11375,1592
None,None,None,2020-11-29,393591,45362,8815,59039,11417,1612
None,None,None,2020-11-30,397103,45944,8933,59565,11460,1633
None,None,None,2020-12-01,400660,46535,9052,60099,11503,1654
None,None,None,2020-12-02,404257,47130,9173,60639,11547,1675
None,None,None,2020-12-03,407891,47725,9293,61184,11591,1696
None,None,None,2020-12-04,411550,48308,9411,61732,11636,1716
None,None,None,2020-12-05,415222,48865,9526,62283,11681,1736
None,None,None,2020-12-06,418920,49409,9639,62838,11727,1755
None,None,None,2020-12-07,422652,49954,9752,63398,11773,1774
None,None,None,2020-12-08,426421,50503,9866,63963,11820,1793
None,None,None,2020-12-09,430226,51053,9980,64534,11867,1812
None,None,None,2020-12-10,434058,51597,10092,65109,11915,1831
None,None,None,2020-12-11,437903,52119,10202,65686,11963,1849
None,None,None,2020-12-12,441766,52624,10309,66265,12012,1867
None,None,None,2020-12-13,445653,53121,10415,66848,12061,1884
None,None,None,2020-12-14,449563,53610,10519,67434,12110,1901
None,None,None,2020-12-15,453492,54088,10622,68024,12160,1918
